 Investigation Type , Accident Number , Event Date , Location , Latitude , Longitude , Airport Code , Airport Name , Injury Severity , Aircraft Damage , Aircraft Category , Registration Number , Make , Model , Number of Engines , Engine Type , FAR Description , Schedule , Purpose of Flight , Air Carrier , Total Fatal Injuries , Total Serious Injuries , Total Minor Injuries , Total Uninjured , Weather Condition , Broad Phase of Flight , Publication Date 
 Accident , SEA06CA017 ,11/16/2005," Salt Lake City, UT ",40.771945,-111.962778, KSLC , Salt Lake City International , Non-Fatal , Substantial , Airplane , N6029N , Cessna , T210M ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,,,,1, VMC , APPROACH ,2/28/2006
 Accident , ATL06CA016 ,11/16/2005," New Bern, NC ",35.073056,-77.043055,  ,  , Non-Fatal , Substantial , Airplane , N821KF , Cessna , 177 ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,,,1,, VMC , APPROACH ,2/28/2006
 Accident , NYC06CA030 ,11/15/2005," Southampton, NY ",40.933333,-72.5,  ,  , Non-Fatal , Substantial , Airplane , N117SA , Cessna , 208 ,1, Turbo Prop , Part 91: General Aviation ,  , Instructional ,  ,,,1,2, VMC , LANDING ,3/28/2006
 Accident , DFW06CA029 ,11/13/2005," Saginaw, TX ",32.931111,-97.411667, T67 , Hicks Field , Non-Fatal , Substantial , Airplane , N81868 , Aeronca , 7DC ,1, Reciprocating , Part 91: General Aviation ,  , Instructional ,  ,,,,2, VMC , TAKEOFF ,2/28/2006
 Accident , ATL06CA015 ,11/13/2005," Bryson City, NC ",35.854444,-83.523889, GKT , GATLINBURG-PIGEON FORGE , Non-Fatal , Substantial , Airplane , N1186X , Piper , PA-32-260 ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,,,1,3, VMC , CRUISE ,2/28/2006
 Accident , MIA06CA025 ,11/12/2005," St. Petersburg, FL ",27.765,-82.626945, KSPG , Albert Whitted Airport , Non-Fatal , Substantial , Airplane , N2969M , Piper , PA-12 ,1, Reciprocating , Part 91: General Aviation ,  , Banner Tow ,  ,,,,1, VMC , LANDING ,3/28/2006
 Accident , NYC06CA031 ,11/11/2005," Montgomery, NY ",41.51,-74.264722,  ,  , Non-Fatal , Substantial , Airplane , N1813W , Beech , F33A ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,,,,3, VMC , LANDING ,3/28/2006
 Accident , DFW06CA031 ,11/10/2005," Osceola, AR ",34.738889,-92.289444,  ,  , Non-Fatal , Substantial , Airplane , N5075P , Air Tractor , AT-502B ,1, Turbo Prop , Part 91: General Aviation ,  , Positioning ,  ,,,,1, VMC , APPROACH ,2/28/2006
 Accident , DFW06CA030 ,11/9/2005," Arlington, TX ",32.658056,-97.089722, GKY , Arlington Municipal Airport , Non-Fatal , Substantial , Airplane , N5437J , Cessna , 172N ,1, Reciprocating , Part 91: General Aviation ,  , Instructional ,  ,,,,1, VMC , APPROACH ,2/28/2006
 Accident , NYC06FA027 ,11/8/2005," Manchester, NH ",42.948333,-71.44, MHT , Manchester , Non-Fatal , Destroyed , Airplane , N7801Q , EMBRAER , 110P1 ,2, Turbo Prop , Part 135: Air Taxi & Commuter , NSCH ,  ,  ,,1,,, VMC , CLIMB ,10/1/2009
 Accident , LAX06CA026 ,11/7/2005," Payson, AZ ",34.256667,-111.339166, KPAN , Payson Airport , Non-Fatal , Substantial , Airplane , N2111P , Piper , PA-28-161 ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,,,,1, VMC , CRUISE ,2/28/2006
 Accident , ATL06CA118 ,11/7/2005," Perry, GA ",32.510556,-83.767223, KPXE , Perry Houston Co. Airport , Non-Fatal , Substantial , Airplane , N3015E , Cessna , 172N ,1, Reciprocating , Part 91: General Aviation ,  , Instructional ,  ,,,,1, VMC , TAKEOFF ,10/31/2006
 Accident , ATL06CA013 ,11/7/2005," Greer, SC ",34.885833,-82.2175,  ,  , Non-Fatal , Substantial , Airplane , N3873X , Beech , BE-76 ,2, Reciprocating , Part 91: General Aviation ,  , Business ,  ,,,2,, VMC , APPROACH ,2/28/2006
 Accident , DFW06CA026 ,11/6/2005," Sherman, TX ",33.621111,-96.585, KSWI , Sherman Municipal Airport , Non-Fatal , Substantial , Airplane , N2884E , Cessna , 172N ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,,,,4, VMC , TAKEOFF ,2/28/2006
 Accident , DFW06CA022 ,11/6/2005," Decatur, TX ",33.254444,-97.580556, LUD , Decatur Municipal Airport , Non-Fatal , Substantial , Airplane , N2593P , Piper , PA38 ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,,,,2, VMC , CLIMB ,2/28/2006
 Accident , CHI06CA028 ,11/6/2005," Butler, MO ",38.293889,-94.34, BUM , Butler Memorial sssssssAirport , Non-Fatal , Substantial , Airplane , N5784B , Cessna , 182 ,1, Reciprocating , Part 91: General Aviation ,  , Skydiving ,  ,,,,1, VMC , CRUISE ,2/28/2006
